hex,type,flight,r,t,alt_baro,gs,track,baro_rate,lat,lon,nic,rc,seen_pos,mlat,tisb,messages,seen,rssi,is_spoofed
adaee6,adsb_icao,N981AL  ,N981AL,LJ35,11400,237.9,246.99,-1344,38.962372,-89.480418,9,75,0.421,[],[],74482,0.0,-8.1,False
aa55b5,adsb_icao,SKW3074 ,N765SK,CRJ7,28000,392.7,244.35,,39.912306,-89.480103,8,186,0.004,[],[],6486556,0.0,-9.3,False
a62f93,adsb_icao,UAL1717 ,N498UA,A320,7225,294.1,320.52,-2048,41.765504,-89.449598,8,186,0.384,[],[],9651294,0.0,-6.4,False
0d0a7e,other,ESF612  ,XA-ESF,B734,13325,350.0,270.0,-2560,20.800657,-89.443393,0,0,3.792,[],[],831760,3.5,-35.9,False
a69206,adsb_icao,TAI367  ,N522TA,A319,36300,430.7,176.67,-1984,15.016262,-89.428515,8,186,16.76,[],[],4437226,12.8,-29.7,False
ab2eae,adsb_icao,DCM6760 ,N82BU,F900,38025,426.4,208.43,,33.283859,-89.427832,8,186,0.102,[],[],363555,0.0,-10.8,False
a46d4f,adsb_icao,UAL2088 ,N38459,B739,3675,240.2,27.53,-1408,42.02655,-89.410546,8,186,0.384,[],[],7428382,0.0,-13.3,False
a52ed6,adsb_icao,LXJ433  ,N433FX,E545,35500,457.6,25.5,,31.32518,-89.396398,8,186,0.579,[],[],3655443,0.6,-18.3,False
c0360e,adsb_icao,WJA2207 ,C-FUMF,B738,34000,443.7,334.65,0,28.663516,-89.360316,8,186,0.579,[],[],6831910,0.3,-21.0,False
a3f436,adsb_icao,FFT482  ,N354FR,A20N,ground,0.0,,,43.137817,-89.345164,8,186,6.567,[],[],8813397,6.6,-2.4,False
ab7394,adsb_icao,AAL2296 ,N837NN,B738,ground,6.8,,,43.127678,-89.344493,8,186,1.012,[],[],5433296,1.0,-6.4,False
ac1f0e,adsb_icao,AAL1802 ,N880NN,B738,35000,508.6,57.93,-64,36.684607,-89.321185,8,186,0.062,[],[],6683145,0.0,-15.0,False
c0671b,adsb_icao,ACA541  ,C-GNBE,BCS3,35575,461.8,284.55,,46.799194,-89.258825,8,186,0.283,[],[],7052488,0.1,-14.6,False
ac2d32,adsb_icao,FDX5393 ,N884FD,B77L,11325,301.7,229.98,-1536,35.5917,-89.252053,8,186,0.331,[],[],3120975,0.1,-20.1,False
c056c6,adsb_icao,WJA671  ,C-GGWJ,B737,36000,445.7,287.09,0,46.22438,-89.248977,8,186,0.081,[],[],6073433,0.0,-18.1,False
acd838,adsb_icao,AAL1159 ,N927AN,B738,36025,417.5,311.02,-64,34.477798,-89.229527,8,186,0.303,[],[],5051302,0.3,-8.9,False
a44611,adsb_icao,UAL1922 ,N37474,B739,2650,199.7,66.39,-576,42.1577,-89.215851,8,186,0.0,[],[],1905771,0.0,-13.2,False
aa9071,adsb_icao,CHR10   ,N78ZE,C750,43025,454.1,270.88,-64,32.488678,-89.198328,8,186,0.691,[],[],2786356,0.2,-15.0,False
a24ef0,adsb_icao,ENY3545 ,N248NN,E75L,18825,378.9,302.94,-1728,29.394104,-89.19129,8,186,0.063,[],[],7114828,0.1,-17.8,False
a3f8b8,adsb_icao,AAL2826 ,N355PU,B738,36000,379.8,223.83,64,38.744476,-89.183131,8,186,0.104,[],[],5169153,0.1,-15.3,False
a4e307,adsb_icao,AAL380  ,N414AL,A21N,31975,446.8,288.8,-64,27.919098,-89.175041,8,186,0.579,[],[],7297091,0.3,-24.8,False
86eea0,adsb_icao,ANA1    ,JA891A,B789,36000,506.5,321.98,,48.01463,-89.156236,8,186,0.283,[],[],4609111,0.3,-3.9,False
a9704d,adsb_icao,DAL1066 ,N707TW,B752,38975,488.9,47.07,-64,35.6521,-89.153481,8,186,0.034,[],[],4511612,0.0,-13.0,False
aa9c10,adsb_icao,N783EA  ,N783EA,C172,5325,70.2,289.98,-64,42.556,-89.147186,9,75,0.184,[],[],2605959,0.0,-4.5,False
a01880,adsb_icao,AAL274  ,N105NN,A321,37025,497.4,73.53,64,36.654673,-89.086382,8,186,0.331,[],[],13532504,0.0,-18.3,False
abc07b,adsb_icao,SWA1401 ,N8563Z,B738,37000,469.5,135.35,0,34.577591,-89.063696,7,371,0.528,[],[],9200517,0.1,-14.9,False
a6e89f,adsb_icao,AAL540  ,N544UW,A321,32000,411.6,266.8,0,36.052963,-89.063015,8,186,0.024,[],[],7397648,0.0,-19.5,False
a2e57e,adsb_icao,ENY3971 ,N286NN,E75L,34000,432.6,267.08,0,30.698502,-89.016885,8,186,0.221,[],[],7961534,0.1,-17.0,False
461f5a,adsb_icao,FIN20   ,OH-LWS,A359,39000,530.0,25.84,0,43.521149,-89.013594,8,186,0.203,[],[],3382525,0.0,-6.9,False
ab92c4,adsb_icao,DAL425  ,N845DN,B739,36000,444.3,310.07,-128,39.27859,-89.007507,8,186,0.104,[],[],7930711,0.0,-10.4,False
a9cd47,adsb_icao,RPA3302 ,N730YX,E75L,34000,422.1,329.06,-64,35.589512,-89.00527,8,186,0.324,[],[],7300634,0.0,-13.4,False
c00d6c,adsb_icao,CFFCD   ,C-FFCD,GL5T,41000,497.8,103.0,64,49.182672,-89.001762,8,186,0.861,[],[],572121,0.9,-19.4,False
ace0cf,adsb_icao,NKS2865 ,N929NK,A20N,34825,471.0,126.63,1920,33.946171,-88.998528,8,186,0.202,[],[],7606372,0.1,-13.6,False
a79122,adsb_icao,JIA5533 ,N587NN,CRJ9,4475,259.9,235.82,,30.589848,-88.984259,8,186,1.695,[],[],6185885,0.1,-26.1,False
a4d273,adsb_icao,N41GX   ,N41GX,PC12,21000,286.2,80.14,0,30.162359,-88.965253,8,186,0.063,[],[],532103,0.1,-20.1,False
